"LECO","LCG","A Coruna","43.29478300:-008.38322800","LE","Spain"
"KAPH","APH","A P Hill Aaf","38.06666400:-077.32156100","KA","United States of America"
"EDKA","AAH","Aachen Merzbruck","50.82363517:006.18333263","ED","Germany"
"EKYT","AAL","Aalborg","57.09371400:009.83338100","EK","Denmark"
"EKAH","AAR","Aarhus","56.30743300:010.59779700","EK","Denmark"
"BGAA","JEG","Aasiaat","68.72101972:-052.79444788","BG","Greenland"
"OIAA","ABD","Abadan","30.37875000:048.22120000","OI","Iran"
"UNAA","ABA","Abakan","53.72676100:091.37467200","UN","Russia"
"LFOI","XAB","Abbeville","50.13827200:001.82865000","LF","France"
"CYXX","YXX","Abbotsford","49.01911500:-122.37996700","CY","Canada"
"WIAS","MLG","Abdul Rachman Saleh","-07.91831900:112.71167200","WI","Indonesia"
"FTTC","AEH","Abeche","13.84798600:020.83030800","FT","Chad"
"MUSC","SNU","Abel Santamaria","22.48892800:-079.95784400","MU","Cuba"
"EGPD","ABZ","Aberdeen Dyce","57.20955000:-002.20341400","EG","United Kingdom"
"KABR","ABR","Aberdeen Rgnl","45.45523600:-098.42803600","KA","United States of America"
"OEAB","AHB","Abha","18.24990800:042.64427200","OE","Saudi Arabia"
"DIAP","ABJ","Abidjan Felix Houphouet Boigny Intl","05.24884700:-003.93145300","DI","Côte d\'Ivoire"
"KABI","ABI","Abilene Rgnl","32.42808100:-099.68491900","KA","United States of America"
"MMCS","CJS","Abraham Gonzalez Intl","31.62831900:-106.43587800","MM","Mexico"
"OMAA","AUH","Abu Dhabi Intl","24.44438900:054.63520600","OM","United Arab Emirates"
"HEBL","ABS","Abu Simbel","22.38767800:031.60442800","HE","Egypt"
"KARA","ARA","Acadiana Rgnl","30.04849400:-091.88662800","KA","United States of America"
"KADH","ADT","Ada Muni","34.81327500:-096.67197500","KA","United States of America"
"PADK","ADK","Adak","51.87833900:-176.65749400","PA","Alaska"
"LTAF","ADA","Adana","36.97481700:035.26801900","LT","Turkey"
"KADS","ADS","Addison","32.97784400:-096.84051100","KA","United States of America"
"YPAD","ADL","Adelaide Intl","-34.95853300:138.51721100","YP","Australia"
"YPPF","PAL","Adelaide Parafield","-34.80377800:138.63064400","YP","Australia"
"OYAA","ADE","Aden Intl","12.82641700:045.01475000","OY","Yemen"
"LTCP","ADF","Adiyaman","37.72403100:038.45815800","LT","Turkey"
"LTBJ","ADB","Adnan Menderes","38.30657800:027.15271900","LT","Turkey"
"WIME","AEG","Aek Godang","01.40255300:099.42467500","WI","Indonesia"
"SABE","AEP","Aeroparque Jorge Newbery","-34.55415947:-058.42525655","SA","Argentina"
"MRAO","TTQ","Aerotortuguero","10.41573900:-083.61104200","MR","Costa Rica"
"SBCT","CWB","Afonso Pena","-25.52212800:-049.18285300","SB","Brazil"
"KAFO","AFO","Afton Muni","42.71840600:-110.94213900","KA","United States of America"
"VEAT","IXA","Agartala","23.89725800:091.24125800","VE","India"
"VOAT","AGX","Agatti","10.81890300:072.17261400","VO","India"
"LFBA","AGF","Agen La Garenne","44.17770300:000.58042800","LF","France"
"FAAG","AGZ","Aggeneys","-29.28768593:018.80625938","FA","South Africa"
"VIAG","AGR","Agra","27.14941700:077.95150000","VI","India"
"LTCO","AJI","Agri","39.66324400:043.02408300","LT","Turkey"
"LGAG","AGQ","Agrinion","38.60273300:021.33395300","LG","Greece"
"SKOC","OCV","Aguas Claras","08.30963600:-073.35894200","SK","Colombia"
"RORA","AGJ","Aguni","26.59246077:127.24263219","RO","Japan"
"VAAH","AMD","Ahmedabad","23.06600300:072.62265300","VA","India"
"OIAW","AWZ","Ahwaz","31.34602500:048.74716700","OI","Iran"
"KAIK","AIK","Aiken Muni","33.64607200:-081.69578100","KA","United States of America"
"DAAS","QSF","Ain Arnat","36.17790232:005.31376855","DA","Algeria"
"KANW","ANW","Ainsworth Muni","42.58613600:-099.99665300","KA","United States of America"
"GQNA","AEO","Aioun El Atrouss","16.70518900:-009.64189700","GQ","Mauritania"
"NCAI","AIT","Aitutaki","-18.83021700:-159.76466900","NC","Cook Islands"
"LFLB","CMF","Aix-les-bains","45.63799763:005.88101431","LF","France"
"VEAZ","AJL","Aizawl","23.74148100:092.80204200","VE","India"
"PAKH","AKK","Akhiok","56.93716759:-154.18986346","PA","Alaska"
"PFAK","AKI","Akiak","60.89991100:-161.23716100","PF","Fort Yukon, Alaska"
"RJSK","AXT","Akita","39.61693900:140.20420600","RJ","Japan"
"CYKD","LAK","Aklavik","68.22694400:-135.01083100","CY","Canada"
"VAAK","AKD","Akola","20.70031900:077.05295300","VA","India"
"KAKR","AKC","Akron Fulton Intl","41.03333600:-081.47781900","KA","United States of America"
"LCRA","AKT","Akrotiri","34.59416700:032.97350000","LC","Cyprus"
"UATE","SCO","Aktau","43.86744400:051.07691700","UA","Kazakhstan, Kyrgyzstan"
"LGPZ","PVK","Aktio","38.92059700:020.74997500","LG","Greece"
"UATT","AKX","Aktyubinsk","50.25549200:057.19180600","UA","Kazakhstan, Kyrgyzstan"
"CYKO","AKV","Akulivik","60.81638600:-078.15750000","CY","Canada"
"DNAK","AKR","Akure","07.23522800:005.29579400","DN","Nigeria"
"BIAR","AEY","Akureyri","65.64995800:-018.07072200","BI","Iceland"
"OEAH","HOF","Al Ahsa","25.29864400:049.48124200","OE","Saudi Arabia"
"OMAL","AAN","Al Ain Intl","24.24378600:055.60658100","OM","United Arab Emirates"
"OEBA","ABT","Al Baha","20.29116900:041.61911900","OE","Saudi Arabia"
"OMAM","DHF","Al Dhafra","24.25816700:054.53333300","OM","United Arab Emirates"
"OYGD","AAY","Al Ghaidah Intl","16.19155000:052.16073900","OY","Yemen"
"OESK","AJF","Al Jouf","29.78793100:040.08134200","OE","Saudi Arabia"
"GMAD","AGA","Al Massira","30.32539200:-009.42969700","GM","Morocco"
"KALM","ALM","Alamogordo White Sands Rgnl","32.83320000:-105.99873300","KA","United States of America"
"YABA","ALH","Albany","-34.94027200:117.80365800","YA","Australia"
"KALB","ALB","Albany Intl","42.73716900:-073.80425300","KA","United States of America"
"LIMG","ALL","Albenga","44.05090600:008.11848400","LI","Italy"
"KAEL","AEL","Albert Lea Muni","43.68738600:-093.36885800","KA","United States of America"
"SVMD","MRD","Alberto Carnevalli","08.57828600:-071.16752300","SV","Venezuela"
"MUTD","TND","Alberto Delgado","21.78360800:-080.00418900","MU","Cuba"
"LFKA","XAV","Albertville","45.62848500:006.33271900","LF","France"
"MPMG","PAC","Albrook Marcos A Gelabert Intl","08.98142800:-079.55486400","MP","Panama"
"KABQ","ABQ","Albuquerque International Sunport","35.04435300:-106.62158900","KA","United States of America"
"YMAY","ABX","Albury","-36.06807501:146.94889257","YM","Australia"
"EGJA","ACI","Alderney","49.70599200:-002.22085300","EG","United Kingdom"
