"REINA BEATRIX INTL","TNCA","12.501389:-70.015221"
"V C BIRD INTL","TAPA","17.136749:-61.792667"
"ARZANAH","OMAR","24.780528:52.559944"
"AL HAMRA AUX","OMAH","24.073981:52.463644"
"MINHAD AB","OMDM","25.026819:55.366244"
"SHARJAH INTL","OMSJ","25.328575:55.517150"
"ABU DHABI INTL","OMAA","24.432972:54.651138"
"AL DHAFRA","OMAM","24.248249:54.547722"
"ZIRKU","OMAZ","24.861542:53.077833"
"DUBAI INTL","OMDB","25.252778:55.364444"
"YAS ISLAND","OM","24.283994:52.580353"
"FUJAIRAH INTL","OMFJ","25.112225:56.323964"
"RAS AL KHAIMAH INTL","OMRK","25.613483:55.938817"
"DAS ISLAND","OMAS","25.146219:52.873711"
"BATEEN","OMAD","24.428333:54.458084"
"AL AIN INTL","OMAL","24.261667:55.609167"
"ABU DHABI NORTHEAST","OM","24.518856:54.980064"
"JEBEL DHANA","OMAJ","24.187428:52.614000"
"HERAT","OAHR","34.210017:62.228300"
"MAZAR I SHARIF","OAMS","36.706914:67.209678"
